dataset_name,model_name,cka_avg_test,cka_avg_train,dist_avg_train,dist_avg_test,dist_norm_avg_train,dist_norm_avg_test,l2_norm_avg_train,l2_norm_avg_test,dist_0_train,dist_0_test,dist_11_train,dist_11_test,dist_15_train,dist_15_test,cka_0_train,cka_0_test,cka_11_train,cka_11_test,cka_15_train,cka_15_test,cka_high_mean_train,cka_mid_mean_train,cka_low_mean_train,cka_high_mean_test,cka_mid_mean_test,cka_low_mean_test,cka_avg_test_ft,cka_avg_train_ft,dist_avg_train_ft,dist_avg_test_ft,dist_norm_avg_train_ft,dist_norm_avg_test_ft,l2_norm_avg_train_ft,l2_norm_avg_test_ft,dist_0_train_ft,dist_0_test_ft,dist_11_train_ft,dist_11_test_ft,dist_15_train_ft,dist_15_test_ft,cka_0_train_ft,cka_0_test_ft,cka_11_train_ft,cka_11_test_ft,cka_15_train_ft,cka_15_test_ft,cka_high_mean_train_ft,cka_mid_mean_train_ft,cka_low_mean_train_ft,cka_high_mean_test_ft,cka_mid_mean_test_ft,cka_low_mean_test_ft,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft
aircraft,hideit3_base_patch16_224.fb_in1k,0.8677628040313721,0.8442214131355286,24.548263549804688,24.549976348876953,0.6341435313224792,0.6332362294197083,24.040931701660156,24.048336029052734,12.53880786895752,12.560704231262209,19.082809448242188,19.038440704345703,,,0.6373839974403381,0.6862034797668457,0.8210049271583557,0.8448854684829712,,,0.9713699221611024,0.9771808385849,0.8951666355133057,0.9716776609420776,0.98027503490448,0.9055756330490112,0.7128004431724548,0.6985975503921509,27.785688400268555,27.767765045166016,0.6246525645256042,0.6250503063201904,26.7509822845459,26.729698181152344,13.777743339538574,13.805283546447754,23.920486450195312,23.920175552368164,,,0.5757178664207458,0.6102548837661743,0.5248531699180603,0.5308094620704651,,,0.8870235681533813,0.95614093542099,0.9456194639205932,0.8946657180786133,0.960795521736145,0.9507337808609008,-0.06787778119494411,-0.0623333755353633,0.14948662813305855,0.14659013210899816,0.21484549180921336,0.212823581375506,0.0971053685897436,0.09196584556254368,0.03044682449828355,0.02702569371124483,0.5778522858651517,0.5188487818306243,0.31794460561039267,0.3553203110946028,0.8288344209628618,0.8178453464708471,0.20072115384615383,0.10940448113207546,0.05212179131996938,0.019806775563168077
aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,0.8111335039138794,0.7943703532218933,29.172897338867188,29.141742706298828,0.6493135094642639,0.6494184732437134,33.08243179321289,33.08730697631836,15.269453048706056,15.290316581726074,21.071622848510746,21.041563034057617,,,0.6513385772705078,0.6870049834251404,0.5339515209197998,0.5458143353462219,,,0.8534794449806213,0.9879835247993468,0.8915294408798218,0.8533716201782227,0.9898412823677064,0.9040640592575072,0.656015932559967,0.6471807360649109,31.957576751708984,31.8778076171875,0.6467446088790894,0.6459004878997803,34.040977478027344,33.9871826171875,20.392372131347656,20.386816024780273,33.52346420288086,33.31599426269531,,,0.5008624792098999,0.5280939936637878,0.3547530770301819,0.36382314562797546,,,0.8192518949508667,0.9854097962379456,0.9012417197227478,0.823760986328125,0.9863216876983644,0.9113651514053344,-0.04255561948545174,-0.03144232284794281,0.1558043996478454,0.14942348645738546,0.2476363060077885,0.24396383489496304,0.08266977163461539,0.07972626222921034,0.03190800948784902,0.02689166029669204,0.5909812639113802,0.5315633865946182,0.2822650601300606,0.3118851596130651,0.7883755097073304,0.7786665982839194,0.13462094907407407,0.0828649109014675,0.044747057633522234,0.021156126973014208
aircraft,hideit_base_patch16_224.fb_in1k,0.8318833708763123,0.8156874775886536,22.839155197143555,22.866851806640625,0.4652815759181976,0.4654115438461304,22.653499603271484,22.660137176513672,8.866621017456055,8.894786834716797,18.769092559814453,18.772705078125,,,0.6399619579315186,0.6729714870452881,0.5825480818748474,0.5805234909057617,,,0.8758755326271057,0.9809376001358032,0.8826919794082642,0.8750452995300293,0.984155774116516,0.8946572542190552,0.7490124702453613,0.7319059371948242,24.482913970947266,24.49513053894043,0.4783373773097992,0.4789271354675293,23.55113983154297,23.55257225036621,8.81185245513916,8.83229923248291,27.606420516967773,27.501388549804688,,,0.5788244605064392,0.6239097714424133,0.5007385611534119,0.5034548044204712,,,0.8555389642715454,0.973156213760376,0.9160492420196532,0.8657448291778564,0.9777277708053588,0.9289002418518066,-0.041800517353774456,-0.05211578961447125,0.26715352999963904,0.262429957960985,0.3652668954842434,0.3635905308721464,0.1317844662571225,0.12141094514325648,0.04729938306487524,0.03892854933843672,0.5034271686038694,0.4382475381963683,0.33590378769458284,0.3709516340450339,0.8009934583403957,0.792141722128343,0.17664930555555555,0.11645975279524808,0.05223017978744629,0.027876728173321905
aircraft,hiresnet50.a1_in1k,0.7238094806671143,0.7058530449867249,8.581119537353516,8.595128059387207,0.48820042610168457,0.4869864583015442,21.39661026000977,21.412391662597656,10.121918678283691,10.099592208862305,10.31750774383545,10.342400550842283,9.341598510742188,9.338768005371094,0.2030961960554123,0.2363890111446381,0.7846850156784058,0.8033939003944397,0.573844313621521,0.5520505309104919,0.8639334440231323,0.8871986269950867,0.6737319827079773,0.8577215671539307,0.9039629101753236,0.6893508434295654,0.5798765420913696,0.5651839375495911,10.344664573669434,10.327350616455078,0.3911025524139404,0.3897949457168579,22.52152633666992,22.51728057861328,11.981575965881348,11.957778930664062,11.76795482635498,11.767742156982422,17.033000946044922,16.79718017578125,0.17005540430545807,0.1969357430934906,0.7042422890663147,0.7163898348808289,0.2180458158254623,0.2356720119714737,0.7121410965919495,0.8574022054672241,0.638258159160614,0.7328085899353027,0.8535733222961426,0.658548891544342,-0.03897307812751972,-0.04054722189442887,0.05062404330091148,0.04975172155888659,0.06795827843050531,0.06780323898061966,0.07056707398504275,0.07375565055031447,0.011177810911948863,0.009984383605561168,-0.004329144600813373,-0.047949255752636165,0.05782576319945112,0.05698179925385461,0.06861998051571302,0.06791092442352122,0.07075070112179488,0.07406929703878407,0.009788665669755291,0.00949814184656683
aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0.7575060129165649,0.7411988377571106,5.934673309326172,5.926015853881836,0.44888392090797424,0.44768157601356506,10.164119720458984,10.15911102294922,5.235729694366455,5.228982448577881,6.223462104797363,6.209372520446777,5.783492565155029,5.792971611022949,0.2139052450656891,0.23207910358905792,0.825839102268219,0.8356311321258545,0.6763226985931396,0.7118222713470459,0.854308009147644,0.970570743083954,0.69471275806427,0.8756275177001953,0.9737404584884644,0.7122565507888794,0.6630653142929077,0.6381195783615112,6.124790668487549,6.10954475402832,0.4350588917732239,0.4359232187271118,10.17063808441162,10.162025451660156,7.196957111358643,7.185276985168457,6.2180256843566895,6.239150047302246,6.821983814239502,6.667328834533691,0.2672986388206482,0.3067265748977661,0.7312195897102356,0.7557290196418762,0.44270962476730347,0.4607439935207367,0.7958549857139587,0.891476035118103,0.6797400712966919,0.8092381954193115,0.8997406959533691,0.7016770243644714,-0.04247766668439713,-0.1049501278534913,0.11185303920107802,0.1099694013910126,0.1210213206757211,0.12091187792457886,0.07390887920673077,0.07610431407232704,0.007693976880266117,0.006910493421667027,0.29435724698263876,0.24336661636482548,0.0664766260327941,0.06494473081756164,0.11416010423353884,0.10295487934176029,0.0722812750400641,0.07398904284591194,0.030144817518213626,0.018879871323423565
aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,0.7722455263137817,0.7523627877235413,7.016519546508789,7.01662015914917,0.4691336452960968,0.4677802324295044,13.23891830444336,13.239832878112791,6.677493095397949,6.664833068847656,7.334307670593262,7.341125965118408,4.935550689697266,4.9201154708862305,0.2015826255083084,0.2228323072195053,0.83243328332901,0.8477339148521423,0.6733675003051758,0.7181857824325562,0.8891004920005798,0.9438318610191344,0.7075991630554199,0.908733069896698,0.9451120495796204,0.7242085933685303,0.6745760440826416,0.6511990427970886,7.335277557373047,7.320436477661133,0.4378505051136017,0.4387141466140747,13.404769897460938,13.398942947387695,9.152353286743164,9.13092803955078,8.03443717956543,8.009570121765137,6.079155445098877,5.9474358558654785,0.3050685226917267,0.34217268228530884,0.7233479619026184,0.7511857151985168,0.48681411147117615,0.5069602727890015,0.8176905512809753,0.878767728805542,0.7016077637672424,0.8309664130210876,0.8911846876144409,0.7193233370780945,-0.03199788571911157,-0.054309024243162606,0.07012368870600244,0.06817769917173686,0.07618357958124751,0.07541139796144028,0.07135896601228632,0.07439809355345911,0.0071874053145830445,0.006520663792232297,0.2648152302173157,0.18992753599696008,0.05377242103055426,0.05261609825769609,0.08595781406798146,0.07979823037400122,0.07097501836271367,0.07385596829140462,0.025346171719810136,0.01725447437954399
aircraft,hiresnet50.gluon_in1k,0.71262526512146,0.6894676089286804,4.388266563415527,4.3897271156311035,0.4849625825881958,0.4826570153236389,6.688648223876953,6.692361354827881,4.723402976989746,4.7152934074401855,5.442922115325928,5.459648609161377,3.793902635574341,3.7927896976470943,0.1904955953359604,0.228649377822876,0.7752971649169922,0.8000763058662415,0.4556349217891693,0.4558164179325104,0.8110382556915283,0.8769450187683105,0.6860975027084351,0.8118252754211426,0.8911283612251282,0.70440673828125,0.6797206401824951,0.6526134014129639,4.635527610778809,4.625033378601074,0.44810962677001953,0.4469950199127197,6.642224311828613,6.637513637542725,5.676400661468506,5.662455081939697,5.762324333190918,5.768702983856201,5.085352897644043,4.948790073394775,0.278141587972641,0.31933072209358215,0.728713870048523,0.7591789364814758,0.44343703985214233,0.4805968105792999,0.8080538511276245,0.9010621905326844,0.6859719753265381,0.8289134502410889,0.9101998805999756,0.7106396555900574,-0.0660799506794523,-0.08526771522187845,0.028192672027948392,0.027605932040702535,0.03415131003447735,0.03423922786384116,0.07485518496260685,0.07666936910377359,0.013023374387278007,0.011432287335958122,0.2655121086237274,0.22776022414299396,0.02988361836260453,0.02788372212239238,0.04897098714311596,0.043227499817027386,0.07307525373931624,0.07458276008909853,0.034682152649531,0.02226166497423963
aircraft,hiresnet50.in1k_mocov3,0.7440775632858276,0.7132874131202698,7.442183971405029,7.455620765686035,0.4903493523597718,0.49053123593330383,14.106913566589355,14.120306015014648,10.268720626831056,10.265304565429688,5.836304664611816,5.770358562469482,12.736071586608888,12.880879402160645,0.1947452872991562,0.2368672788143158,0.7132689356803894,0.7728328108787537,0.6440967321395874,0.6867660880088806,0.8687511682510376,0.85611891746521,0.6874375939369202,0.8914915919303894,0.8713409304618835,0.7015941143035889,0.6193503737449646,0.5881098508834839,7.670035839080811,7.653834819793701,0.4345258176326752,0.4512680768966675,14.15919589996338,14.153627395629885,11.72560214996338,11.712652206420898,6.337264537811279,6.321684837341309,10.374436378479004,10.239033699035645,0.2008322775363922,0.22649116814136505,0.6757325530052185,0.7118238806724548,0.5179262161254883,0.5456272959709167,0.8174030780792236,0.7720162272453308,0.590941846370697,0.8522500395774841,0.7984524369239807,0.6186059713363647,-0.01938618743403283,-0.029602270584086373,0.12107946837089338,0.11779854013382704,0.13616711871850565,0.1354113057409123,0.0718994140625,0.07479035639412998,0.011131672869221523,0.009851280740409526,0.08414278151040415,0.06227413992810981,0.06409249924720543,0.0618391474469932,0.07642219264121283,0.07354097331975934,0.07067662426549146,0.07381911687631026,0.02736098107953484,0.021245436496892065
aircraft,hiresnet50.in1k_spark,0.7487069368362427,0.7332032918930054,6.6142425537109375,6.619336128234863,0.4559781849384308,0.45197394490242,24.2421932220459,24.24526596069336,6.313538074493408,6.3021159172058105,5.265157699584961,5.273089408874512,16.068811416625977,16.121971130371094,0.21111911535263064,0.2472533881664276,0.7943950891494751,0.8091297149658203,0.7151782512664795,0.7391358613967896,0.8924930095672607,0.901868462562561,0.6077656745910645,0.9011783599853516,0.9123818278312684,0.6169854402542114,0.5636765956878662,0.5370694994926453,7.000166416168213,7.007216930389404,0.4108690023422241,0.4090786278247833,24.022214889526367,24.02229118347168,7.634850025177002,7.607410907745361,5.118978023529053,5.116406440734863,11.901659965515137,11.81165885925293,0.27203071117401123,0.30041661858558655,0.6219438314437866,0.6430577039718628,0.4555143415927887,0.48128125071525574,0.8171465992927551,0.7252017855644226,0.691739022731781,0.8380556106567383,0.7557364106178284,0.7049126625061035,-0.03037956038460104,-0.04114821194869625,0.04120330379025844,0.040085772030366104,0.044653307559332694,0.044460850248607534,0.07036258012820512,0.07365533280922432,0.007245358867714037,0.006880475946192472,0.1812726507896548,0.15562260050254936,0.006491902398429655,0.006397945619372099,0.009253562239092664,0.008892490746437666,0.07033545339209402,0.07361848139412998,0.01950290494670089,0.013174841285876506
aircraft,hiresnet50.in1k_supcon,0.8016236424446106,0.7826499938964844,0.601360559463501,0.6022964119911194,0.49309954047203064,0.4918204247951507,0.9621939063072203,0.9632158279418944,0.5485926270484924,0.5489497780799866,0.6451522707939148,0.6455453038215637,0.3447902500629425,0.34889814257621765,0.5548921227455139,0.5830362439155579,0.8410440683364868,0.858956515789032,0.45128992199897766,0.4471499025821686,0.811214029788971,0.9629321098327636,0.8380905985832214,0.8229586482048035,0.9675759673118592,0.853577196598053,0.6734289526939392,0.6396392583847046,0.8003217577934265,0.7986456155776978,0.4639223217964173,0.4627416729927063,1.2355687618255615,1.2347402572631836,0.8427479267120361,0.8418787717819214,0.7703666687011719,0.7715554237365723,1.2114346027374268,1.177221179008484,0.42556560039520264,0.4621251523494721,0.6715500950813293,0.7078741788864136,0.4542451798915863,0.4962467551231384,0.8262906670570374,0.8653426170349121,0.7462945580482483,0.8546390533447266,0.8860594034194946,0.7678735256195068,-0.03032805605741417,-0.05096039088601763,0.09924908839950806,0.09780764712759672,0.1296739643034917,0.13056255870068728,0.07403929620726496,0.07611741679769392,0.009572577734406175,0.00895788977449795,0.3189496876454628,0.2703372167805426,0.05468246679189467,0.05275079738969308,0.09035179647305054,0.08154858271905895,0.07213520799946581,0.07432275288259957,0.03147251069402465,0.021179107843704945
