host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,img_per_class,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,100,3333,,,,,10.7411,,,4.2314,10.74107410741074,100.0,,,0.0133,19.3579,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,300,3333,,,,3.0,27.6028,,,3.3308,27.602760276027603,100.0,,,0.0032,31.9935,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,500,3333,,,,5.0,39.724,,,2.7089,39.72397239723973,100.0,,,0.0035,47.4772,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,100,3333,,,,,11.0411,,,4.221,11.04110411041104,100.0,,,0.0094,19.4082,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,300,3333,,,,3.0,28.7129,,,3.2663,28.712871287128714,100.0,,,0.0017,31.9509,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,500,3333,,,,5.0,42.9643,,,2.5516,42.96429642964296,100.0,,,0.0005,47.4714,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,100,3333,,,,,11.7912,,,4.1647,11.791179117911792,100.0,,,0.0028,19.4348,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,300,3333,,,,3.0,32.0732,,,3.073,32.073207320732074,100.0,,,0.0003,32.1504,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,500,3333,,,,5.0,45.4545,,,2.4835,45.45454545454545,100.0,,,0.0001,47.4116,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,100,3333,,,,,12.6013,,,4.1482,12.6012601260126,100.0,,,0.0015,19.5328,0.4121,78.5244,86.7906,86.7906,
