method,SoyLocal,Average
RN TV1,32.9833,32.9833
RN TV2,33.6,33.6
RN Gluon,33.45,33.45
RN IN21k-P,37.4667,37.4667
RN A1,32.25,32.25
RN IG1b,26.4333,26.4333
RN YFCC100m,32.0667,32.0667
RN SupCon,28.7,28.7
RN SwAV,46.95,46.95
RN MoCo v3,43.0667,43.0667
RN SparK,13.65,13.65
ViT,36.3,36.3
DeiT,35.9444,35.9444
ViT IN21k-P,36.2666,36.2666
DeiT 3 (IN1k),30.4444,30.4444
DeiT 3 (IN21k),32.1,32.1
ViT MoCo v3,28.4,28.4
ViT DINO,41.6296,41.6296
ViT CLIP,43.4333,43.4333
ViT SigLIP v2,41.8148,41.8148
ViT MAE,48.5667,48.5667
