serial,setting,dataset_name,method,acc_in1k,acc_mean,acc_std,acc_max,acc_min,acc_mean_logit,acc_std_logit,acc_max_logit,acc_min_logit,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft,ada_ratio,MSC_train_matched,MSC_test_matched,V_intra_train_matched,V_intra_test_matched,S_inter_train_matched,S_inter_test_matched,clustering_diversity_train_matched,clustering_diversity_test_matched,spectral_diversity_train_matched,spectral_diversity_test_matched
23,ft_448,aircraft,hiresnet50.tv_in1k,76.13,93.80438000000001,0.9059963267033688,95.1695,92.4092,2.7173689592343315,-4.694788959026367,2.980709530338587,2.4992895530930443,-0.0093438423485979,-0.0194805817733577,0.1672665072738873,0.1606028305847258,0.1899501951237137,0.1864123420132005,0.0806655231704059,0.0809617400419287,0.0108684278093278,0.0098710344788038,0.4749282938086948,0.4037582590238123,0.0784691976515602,0.0781625027467912,0.1613199798776751,0.1433122972570213,0.0775595118856837,0.0750999082809224,0.0367382572820553,0.0192896254220098,0.9658358455152828,0.4749282938086948,0.4037582590238123,0.0784691976515602,0.0781625027467912,0.1613199798776751,0.1433122972570213,0.0775595118856837,0.0750999082809224,0.0367382572820553,0.0192896254220098
23,ft_448,aircraft,hiresnet50.tv2_in1k,80.85,94.06241,0.6460649665474852,94.9895,93.1293,2.7626551709914886,-5.035543788843717,2.9422306486600225,2.6067228568014693,-0.0477791962590083,-0.052124488502696395,0.060553273659130505,0.059536797571484404,0.0785542338699688,0.0789318629500065,0.0713067992120726,0.0742572392557651,0.0109959168789478,0.0099875673932849,0.1861382527354349,0.1571257363611879,0.0338689426526996,0.0324770137056043,0.0498079760452942,0.0465657559451873,0.0709656283386752,0.0740013266509433,0.0222264454843333,0.0175224154625298,0.6868471332464109,0.1861382527354349,0.1571257363611879,0.0338689426526996,0.0324770137056043,0.0498079760452942,0.0465657559451873,0.0709656283386752,0.0740013266509433,0.0222264454843333,0.0175224154625298
23,ft_448,aircraft,hiresnet50.gluon_in1k,77.58,93.56736,0.9185896486825152,95.0495,92.2892,2.6772965753044002,-4.680857614723974,2.9549092269509005,2.482305181370519,-0.0660799506794523,-0.0852677152218784,0.028192672027948295,0.027605932040702504,0.0341513100344773,0.0342392278638411,0.0748551849626068,0.0766693691037735,0.013023374387278,0.0114322873359581,0.2655121086237274,0.2277602241429939,0.029883618362604496,0.0278837221223923,0.0489709871431159,0.0432274998170273,0.0730752537393162,0.0745827600890985,0.034682152649531,0.0222616649742396,0.9817415482092423,0.2655121086237274,0.2277602241429939,0.029883618362604496,0.0278837221223923,0.0489709871431159,0.0432274998170273,0.0730752537393162,0.0745827600890985,0.034682152649531,0.0222616649742396
23,ft_448,aircraft,hiresnet50.in21k_miil,82.0,94.0144,0.5492667860177086,94.9295,92.9493,2.7540913774150027,-5.198833384439583,2.9296950787710516,2.57892728053317,-0.1351229785536753,-0.1774894058118787,0.0448370014939421,0.0413880690871489,0.0481769643887815,0.0442498850345444,0.0730126535790598,0.0760256977201258,0.0005913619668437,0.0008516951270823,0.1734276524474806,0.1385825484230661,0.0015966764236595003,0.0014791161634995,0.0023622266147763,0.0020898902232242,0.0705608139690171,0.0738289439203354,0.0148006268562032,0.0112778166273854,0.5842368679879982,0.1734276524474806,0.1385825484230661,0.0015966764236595003,0.0014791161634995,0.0023622266147763,0.0020898902232242,0.0705608139690171,0.0738289439203354,0.0148006268562032,0.0112778166273854
23,ft_448,aircraft,hiresnet50.a1_in1k,80.38,92.98229,1.4646255801019201,94.4494,89.3789,2.5839720909184307,-4.208815981790864,2.834158211336653,2.1300420478213984,-0.0389730781275197,-0.0405472218944288,0.0506240433009114,0.0497517215588865,0.0679582784305053,0.0678032389806196,0.0705670739850427,0.0737556505503144,0.0111778109119488,0.0099843836055611,-0.0043291446008133,-0.0479492557526361,0.0578257631994511,0.05698179925385459,0.068619980515713,0.0679109244235212,0.0707507011217948,0.074069297038784,0.0097886656697552,0.0094981418465668,1.5751661742272858,-0.0043291446008133,-0.0479492557526361,0.0578257631994511,0.05698179925385459,0.068619980515713,0.0679109244235212,0.0707507011217948,0.074069297038784,0.0097886656697552,0.0094981418465668
23,ft_448,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,81.18,93.58536000000001,1.276839543734628,94.9295,91.4491,2.6802910829732087,-4.347931655786995,2.9296950787710516,2.3697459927782503,-0.0319978857191115,-0.0543090242431626,0.0701236887060024,0.0681776991717368,0.0761835795812475,0.0754113979614402,0.0713589660122863,0.0743980935534591,0.007187405314583001,0.006520663792232201,0.2648152302173157,0.18992753599696,0.0537724210305542,0.052616098257695997,0.0859578140679814,0.0797982303740012,0.0709750183627136,0.0738559682914046,0.0253461717198101,0.0172544743795439,1.3643582112999597,0.2648152302173157,0.18992753599696,0.0537724210305542,0.052616098257695997,0.0859578140679814,0.0797982303740012,0.0709750183627136,0.0738559682914046,0.0253461717198101,0.0172544743795439
23,ft_448,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,79.22,93.43834,1.1713589887154343,95.1695,91.9592,2.6560581337861078,-4.43522284794879,2.980709530338587,2.4368164196942104,-0.0424776666843971,-0.1049501278534913,0.111853039201078,0.1099694013910126,0.1210213206757211,0.1209118779245788,0.0739088792067307,0.076104314072327,0.0076939768802660995,0.006910493421666999,0.2943572469826387,0.24336661636482543,0.0664766260327941,0.0649447308175616,0.1141601042335388,0.1029548793417602,0.0722812750400641,0.0739890428459119,0.0301448175182136,0.0188798713234235,1.2536170791512717,0.2943572469826387,0.24336661636482543,0.0664766260327941,0.0649447308175616,0.1141601042335388,0.1029548793417602,0.0722812750400641,0.0739890428459119,0.0301448175182136,0.0188798713234235
23,ft_448,aircraft,hiresnet50.in1k_supcon,79.1,93.61836,1.1824886808948503,94.8995,90.8491,2.685801400478352,-4.4256535599643785,2.923479862757668,2.295347653247851,-0.0303280560574141,-0.0509603908860176,0.099249088399508,0.0978076471275967,0.1296739643034917,0.1305625587006872,0.0740392962072649,0.0761174167976939,0.0095725777344061,0.0089578897744979,0.3189496876454628,0.2703372167805426,0.054682466791894604,0.052750797389693,0.0903517964730505,0.0815485827190589,0.0721352079994658,0.0743227528825995,0.0314725106940246,0.0211791078437049,1.2630948468813705,0.3189496876454628,0.2703372167805426,0.054682466791894604,0.052750797389693,0.0903517964730505,0.0815485827190589,0.0721352079994658,0.0743227528825995,0.0314725106940246,0.0211791078437049
23,ft_448,aircraft,hiresnet50.in1k_swav,75.3,94.21243000000001,0.6291023800269347,95.1095,92.8593,2.789839611796515,-5.062320559498958,2.9677343116613057,2.5652746335721206,-0.0214945884336323,-0.0308730768659529,0.1668625504210624,0.1646086914294748,0.1789567774466011,0.1799764808345504,0.073078383747329,0.075631797038784,0.0111321423990795,0.0101122191210962,0.1065619903742004,0.0804504612842805,0.0890116432869349,0.0847167612702149,0.11102036635225461,0.104338480284013,0.0722291082398504,0.0745377194706498,0.0231260646206255,0.0206550129179684,0.6677488098193992,0.1065619903742004,0.0804504612842805,0.0890116432869349,0.0847167612702149,0.11102036635225461,0.104338480284013,0.0722291082398504,0.0745377194706498,0.0231260646206255,0.0206550129179684
23,ft_448,aircraft,hiresnet50.in1k_mocov3,74.6,94.29043,0.5384018987295266,94.9895,93.3693,2.804235985513574,-5.218921594979035,2.9422306486600225,2.6448522180946648,-0.0193861874340328,-0.0296022705840863,0.1210794683708933,0.117798540133827,0.1361671187185056,0.1354113057409123,0.0718994140625,0.0747903563941299,0.0111316728692215,0.0098512807404095,0.0841427815104041,0.0622741399281098,0.0640924992472054,0.0618391474469932,0.0764221926412128,0.0735409733197593,0.0706766242654914,0.0738191168763102,0.027360981079534795,0.021245436496892,0.5710037579948746,0.0841427815104041,0.0622741399281098,0.0640924992472054,0.0618391474469932,0.0764221926412128,0.0735409733197593,0.0706766242654914,0.0738191168763102,0.027360981079534795,0.021245436496892
